Algorithm,Devices,FailureRate
DDQN,1200,0.1818003144654088
DDQN,1200,0.2135339874930093
DDQN,1200,0.22811237013711538
DDQN,1200,0.19510990367992098
DDQN,1200,0.22496909765142148
DDQN,1400,0.22614012312073367
DDQN,1400,0.21581688767146032
DDQN,1400,0.22200139543734274
DDQN,1400,0.19897160742231168
DDQN,1400,0.21661409043112512
DDQN,1400,0.20313161235717309
DDQN,1400,0.19224339685723837
DDQN,1400,0.20944601528955908
DDQN,1400,0.20529748007406812
DDQN,1400,0.17587285044293904
DDQN,1400,0.20805711371749105
DDQN,1400,0.19290950400823081
DDQN,1400,0.20338840895747715
DDQN,1400,0.19051838723969872
DDQN,1400,0.19448409989034407
DDQN,1600,0.2194422041750286
DDQN,1600,0.22474881015335804
DDQN,1600,0.22116429883420174
DDQN,1600,0.22826047259048246
DDQN,1600,0.26518312471024574
DDQN,1600,0.21923305588585018
DDQN,1600,0.2393810563407254
DDQN,1600,0.16761318820003154
DDQN,1600,0.23232971931547733
DDQN,1600,0.16563389064265951
DDQN,1600,0.21786079642329403
DDQN,1600,0.23928811784939805
DDQN,1600,0.24565069937120756
DDQN,1600,0.22450645687991688
DDQN,1600,0.22896393817973668
DDQN,1800,0.25201531477682104
DDQN,1800,0.24991424511197138
DDQN,1800,0.2345833735017192
DDQN,1800,0.25004112518506333
DDQN,1800,0.23369869326223627
DDQN,1800,0.22644481638279018
DDQN,1800,0.2305417731669423
DDQN,1800,0.26571603043356273
DDQN,1800,0.23390828775767775
DDQN,1800,0.23582987720582255
DDQN,1800,0.2423304975509152
DDQN,1800,0.2242822966507177
DDQN,1800,0.24984587429832247
DDQN,1800,0.22050539192016738
DDQN,1800,0.1921182266009852
DDQN,2000,0.2307116104868914
DDQN,2000,0.2782917400003008
DDQN,2000,0.25248730048994555
DDQN,2000,0.24317875932949956
DDQN,2000,0.2302275189599133
DDQN,2000,0.26981450252951095
DDQN,2000,0.24185820112258713
DDQN,2000,0.2401944989601336
DDQN,2000,0.25175383387317135
DDQN,2000,0.2804539575976866
DDQN,2000,0.2291983970899197
DDQN,2000,0.2867032101846488
DDQN,2000,0.2398554794832481
DDQN,2000,0.23814678501840225
DDQN,2000,0.2433411026576953
DDQN,2200,0.28350858511912685
DDQN,2200,0.2976561310240755
DDQN,2200,0.2855374574506991
DDQN,2200,0.2994607057202295
DDQN,2200,0.2781289506953224
DDQN,2200,0.26088645888262885
DDQN,2200,0.24192063951195142
DDQN,2200,0.2319569622021938
DDQN,2200,0.2562836205400643
DDQN,2200,0.2574307024379383
DDQN,2200,0.25961472070703584
DDQN,2200,0.2875590038522055
DDQN,2200,0.27163478631870863
DDQN,2200,0.28677713899222185
DDQN,2200,0.24399035129065352
DDQN,2400,0.9672719258506484
DDQN,2400,0.25755473038020577
DDQN,2400,0.2976039714300187
DDQN,2400,0.46982968673855724
DDQN,2400,0.3133079460499
DDQN,2400,0.2825847754326298
DDQN,2400,0.5997038806564394
DDQN,2400,0.28949862936489634
DDQN,2400,0.3437381524074308
DDQN,2400,0.2552583214212783
DDQN,2400,0.3420636136212794
DDQN,2400,0.30349201630185685
DDQN,2400,1.8527227722772277
DDQN,2400,0.28282022849881017
DDQN,2400,0.25525634511625656
DDQN_Mobility,200,0.1303780964797914
DDQN_Mobility,200,0.1591849729385546
DDQN_Mobility,200,0.21828103683492497
DDQN_Mobility,200,0.17894422904861318
DDQN_Mobility,200,0.17276130146847107
DDQN_Mobility,200,0.15342129487572875
DDQN_Mobility,200,0.19525801952580196
DDQN_Mobility,200,0.20646937370956642
DDQN_Mobility,200,0.16277005031074282
DDQN_Mobility,200,0.22136953955135774
DDQN_Mobility,200,0.08699434536755112
