Algorithm,Devices,Delay
Fuzzy_Based,800,0.6978924867329427
Fuzzy_Based,800,0.7232904207059938
Fuzzy_Based,800,0.7126991604158042
Fuzzy_Based,800,0.7284042904875396
Fuzzy_Based,800,0.7111364341811859
Fuzzy_Based,800,0.7203982973680791
Fuzzy_Based,1000,0.6905353155196513
Fuzzy_Based,1000,0.6875422263887551
Fuzzy_Based,1000,0.7097939615204961
Fuzzy_Based,1000,0.702681775440192
Fuzzy_Based,1000,0.6983480854488068
Fuzzy_Based,1000,0.7108825798862161
Fuzzy_Based,1000,0.6982502684819426
Fuzzy_Based,1000,0.7035229631108029
Fuzzy_Based,1000,0.6968760903966325
Fuzzy_Based,1000,0.7084588616471185
Fuzzy_Based,1000,0.6961783544750002
Fuzzy_Based,1000,0.7039410386631025
Fuzzy_Based,1000,0.7109316313793053
Fuzzy_Based,1000,0.6954161406701975
Fuzzy_Based,1000,0.7047432850264539
Fuzzy_Based,1200,0.6807069867621564
Fuzzy_Based,1200,0.6780071061769904
Fuzzy_Based,1200,0.68091104332551
Fuzzy_Based,1200,0.6915965670993015
Fuzzy_Based,1200,0.681560582288292
Fuzzy_Based,1200,0.6877176970050533
Fuzzy_Based,1200,0.6802756058658078
Fuzzy_Based,1200,0.6815231756708583
Fuzzy_Based,1200,0.6808083248334259
Fuzzy_Based,1200,0.6707230249346554
Fuzzy_Based,1200,0.6787432708006859
Fuzzy_Based,1200,0.6740703711979127
Fuzzy_Based,1200,0.6845503969751179
Fuzzy_Based,1200,0.6793267991081727
Fuzzy_Based,1200,0.6683918046245219
Fuzzy_Based,1400,0.6510484965170709
Fuzzy_Based,1400,0.6527123959728468
Fuzzy_Based,1400,0.6575844951385912
Fuzzy_Based,1400,0.6553710548972397
Fuzzy_Based,1400,0.6486226090509375
Fuzzy_Based,1400,0.6621571064615913
Fuzzy_Based,1400,0.6569027278163971
Fuzzy_Based,1400,0.6594056767288451
Fuzzy_Based,1400,0.6613589517392227
Fuzzy_Based,1400,0.6539659574398952
Fuzzy_Based,1400,0.6546351539049353
Fuzzy_Based,1400,0.6540361229875559
Fuzzy_Based,1400,0.6614941255728815
Fuzzy_Based,1400,0.6590897857696824
Fuzzy_Based,1400,0.6545520620761776
Fuzzy_Based,1600,0.6435838729501125
Fuzzy_Based,1600,0.6408346816521258
Fuzzy_Based,1600,0.6454974222091968
Fuzzy_Based,1600,0.6497536771921345
Fuzzy_Based,1600,0.650311049858063
Fuzzy_Based,1600,0.6374307774848418
Fuzzy_Based,1600,0.6372743478912654
Fuzzy_Based,1600,0.6428492429265105
Fuzzy_Based,1600,0.6405208478293384
Fuzzy_Based,1600,0.6470124939866501
Fuzzy_Based,1600,0.6478268873952113
Fuzzy_Based,1600,0.6402819474943073
Fuzzy_Based,1600,0.6466296723593136
Fuzzy_Based,1600,0.6399323481340458
Fuzzy_Based,1600,0.6522042334170072
Fuzzy_Based,1800,0.6415058119924328
Fuzzy_Based,1800,0.6336172737177179
Fuzzy_Based,1800,0.6411395410087657
Fuzzy_Based,1800,0.6504999217906953
Fuzzy_Based,1800,0.6414525112245739
Fuzzy_Based,1800,0.6398133120739019
Fuzzy_Based,1800,0.6423206946816362
Fuzzy_Based,1800,0.6411773687679957
Fuzzy_Based,1800,0.634946935539575
Fuzzy_Based,1800,0.6426328369946891
Fuzzy_Based,1800,0.6334858144213313
Fuzzy_Based,1800,0.6443894463683835
Fuzzy_Based,1800,0.6452474121511779
Fuzzy_Based,1800,0.6406420451478354
Fuzzy_Based,1800,0.6467684802631096
Fuzzy_Based,2000,0.6341748904414494
Fuzzy_Based,2000,0.6402799807433002
Fuzzy_Based,2000,0.6424054340503093
Fuzzy_Based,2000,0.6430007660410337
Fuzzy_Based,2000,0.6362636694811971
Fuzzy_Based,2000,0.6427879324996448
Fuzzy_Based,2000,0.6396327804382321
Fuzzy_Based,2000,0.6387830699966446
Fuzzy_Based,2000,0.6433572498820949
Fuzzy_Based,2000,0.6394685337479262
Fuzzy_Based,2000,0.6383198586537879
Fuzzy_Based,2000,0.6423202987102167
Fuzzy_Based,2000,0.6413454195997873
Fuzzy_Based,2000,0.6485110376942123
Fuzzy_Based,2000,0.6452409129619718
Fuzzy_Based,2200,0.6411998183836481
Fuzzy_Based,2200,0.6347253308736828
Fuzzy_Based,2200,0.6441102373344664
Fuzzy_Based,2200,0.6523181046685204
Fuzzy_Based,2200,0.7136819999445582
Fuzzy_Based,2200,0.6469190711480902
Fuzzy_Based,2200,0.6501752046737527
Fuzzy_Based,2200,0.6434496859814289
Fuzzy_Based,2200,0.6522678757796796
Fuzzy_Based,2200,0.6502365286788059
Fuzzy_Based,2200,0.6536827731230842
Fuzzy_Based,2200,0.6484473998699335
Fuzzy_Based,2200,0.659857239614784
Fuzzy_Based,2200,0.8038959239084237
Fuzzy_Based,2200,0.6865090366396613
Fuzzy_Based,2400,0.6595551494896793
Fuzzy_Based,2400,0.6431899833090624
Fuzzy_Based,2400,0.7754225888528435
Fuzzy_Based,2400,0.7215880562178424
Fuzzy_Based,2400,0.6572858015146974
Fuzzy_Based,2400,0.8035697463056778
Fuzzy_Based,2400,0.7200620064892678
Fuzzy_Based,2400,0.6567226349437773
Fuzzy_Based,2400,0.6575082547974981
Fuzzy_Based,2400,0.6567446633314377
Fuzzy_Based,2400,0.7478524808153773
Fuzzy_Based,2400,0.651300166123599
Fuzzy_Based,2400,0.6539086917122336
Fuzzy_Based,2400,0.6535957489944699
