taskId,requiredCycles,dataSize,serverId,edgeUtilization,wanBW,predictedDelay,actualDelay
73459,5345.0,385.0,8,65.17857142857143,7.3833730468750005,0.0,0.9829478984835021
73461,702.0,744.0,8,64.98214285714286,7.091933593750001,0.0,0.08085034897175092
73462,33.0,2765.0,8,65.03571428571429,7.091933593750001,0.0,0.008250000000003865
73463,1040.0,4153.0,14,65.03571428571429,7.3833730468750005,0.0,0.010400000000004184
73471,13411.0,1477.0,12,65.0,9.6560400390625,0.0,4.604580148243542
73474,8977.0,257.0,8,65.0,8.7068115234375,0.0,2.7050203452538426
73475,2219.0,737.0,14,65.0,7.3833730468750005,0.0,0.021777593157509045
73476,11671.0,605.0,14,64.94642857142857,7.091933593750001,0.0,0.13670999999999367
73477,36977.0,370.0,14,65.0,7.091933593750001,0.0,0.3717319282921778
73478,13962.0,1169.0,8,65.0,7.091933593750001,0.0,4.753126787767968
73479,362.0,209.0,14,65.05357142857143,7.3833730468750005,0.0,0.003620000000012169
73480,4763.0,132.0,8,65.14285714285714,8.0657001953125,0.0,0.7869791208254924
73482,1914.0,218.0,8,65.19642857142857,8.0657001953125,0.0,0.3542607473664816
73484,3314.0,3892.0,14,65.25,8.7068115234375,0.0,0.05230998769158646
73485,9276.0,257.0,14,65.19642857142857,8.0657001953125,0.0,0.0927599999999984
73486,2298.0,430.0,14,65.19642857142857,8.0657001953125,0.0,0.018982380105654784
73488,3717.0,669.0,14,65.14285714285714,6.987657226562499,0.0,0.057169999999985066
73489,3461.0,2576.0,14,65.14285714285714,7.091933593750001,0.0,0.034609999999986485
73490,17223.0,2013.0,12,65.14285714285714,9.6560400390625,0.0,7.074951023721468
73491,1512.0,1973.0,8,64.98214285714286,7.091933593750001,0.0,0.26706840609088545
73492,1310.0,776.0,8,64.98214285714286,9.6560400390625,0.0,0.14608329597078296
73495,10778.0,2089.0,8,65.08928571428571,7.091933593750001,0.0,2.7453596540447336
73497,14862.0,2316.0,12,65.08928571428571,8.7068115234375,0.0,5.485497448694815
73498,41072.0,26.0,12,65.08928571428571,9.6560400390625,0.0,23.03399771113081
73499,14178.0,1589.0,12,65.07142857142857,9.6560400390625,0.0,5.2556994705180955
73500,13101.0,631.0,8,65.07142857142857,7.091933593750001,0.0,3.3268313494029087
73502,6367.0,1001.0,12,65.01785714285714,9.6560400390625,0.0,1.9507282100935015
73503,78112.0,2113.0,14,65.01785714285714,7.3833730468750005,0.0,0.7811101085403607
73505,11965.0,1209.0,12,65.01785714285714,9.6560400390625,0.0,4.550364452833151
73506,25340.0,142.0,8,65.01785714285714,7.091933593750001,0.0,7.570322235459713
73508,723.0,450.0,14,65.0,9.6560400390625,0.0,0.01533225616478262
73509,812.0,1887.0,14,65.0,6.8761259765625,0.0,0.008119999999991023
73511,3086.0,367.0,14,65.05357142857143,7.091933593750001,0.0,0.030859999999989896
73513,35623.0,341.0,8,65.10714285714286,7.091933593750001,0.0,21.94462843496777
73514,17621.0,167.0,14,65.10714285714286,6.987657226562499,0.0,0.18778697375350362
73515,686.0,228.0,12,65.05357142857143,8.7068115234375,0.0,0.19172928153722069
73516,25944.0,2417.0,12,64.94642857142857,9.6560400390625,0.0,14.067884210085339
73517,3636.0,206.0,8,64.94642857142857,7.091933593750001,0.0,0.8705440187081592
73518,6536.0,252.0,12,65.05357142857143,8.7068115234375,0.0,1.9964963023881808
73519,19440.0,1041.0,8,65.05357142857143,7.3833730468750005,0.0,8.938565727009717
73520,8698.0,3719.0,14,65.05357142857143,7.091933593750001,0.0,0.08697915962093816
73521,6832.0,982.0,14,65.10714285714286,7.091933593750001,0.0,0.06831268075580965
73522,8514.0,2975.0,12,65.10714285714286,8.7068115234375,0.0,2.2981966612603912
73523,9313.0,1066.0,14,65.16071428571429,6.8761259765625,0.0,0.09313000000000216
73524,75850.0,4268.0,14,65.03571428571429,7.091933593750001,0.0,0.9410835421559796
73525,573.0,104.0,8,65.03571428571429,7.3833730468750005,0.0,0.11229491148591819
73526,4977.0,472.0,14,65.03571428571429,3.8083291015624994,0.0,0.04976999999999521
73528,11714.0,1629.0,8,65.03571428571429,7.091933593750001,0.0,4.3034288177927635
73530,10338.0,145.0,14,65.08928571428571,3.2340625,0.0,0.11675341309481269
73531,1444.0,654.0,8,65.03571428571429,7.091933593750001,0.0,0.14439999999999031
73533,9996.0,638.0,14,64.92857142857143,6.987657226562499,0.0,0.10564378762580873
73535,5039.0,1137.0,12,65.03571428571429,9.6560400390625,0.0,1.7513195157139876
73538,6979.0,1667.0,14,65.0,9.6560400390625,0.0,0.060697526382710976
73539,731.0,836.0,14,65.0,6.8306591796875,0.0,0.015673633095133255
73540,19016.0,745.0,14,64.94642857142857,6.987657226562499,0.0,0.18853297211842346
73541,20759.0,628.0,7,64.94642857142857,8.7068115234375,0.0,12.04232269508853
73542,10539.0,1073.0,7,64.94642857142857,7.091933593750001,0.0,6.470399999867084
73543,2382.0,1518.0,14,64.94642857142857,8.7068115234375,0.0,0.03484885518400915
73544,17562.0,2502.0,7,64.83928571428571,7.091933593750001,0.0,10.639844609472817
73545,1384.0,2559.0,14,64.625,6.987657226562499,0.0,0.01383999999998764
73546,2534.0,234.0,4,64.625,7.091933593750001,0.0,0.27057252238509477
73547,2323.0,377.0,7,64.625,9.6560400390625,0.0,1.5706616765122021
73548,3213.0,2888.0,12,64.625,8.7068115234375,0.0,0.9929044424582969
73549,18484.0,291.0,13,64.67857142857143,11.7421455078125,0.0,10.914014534280483
73550,249.0,2573.0,13,64.67857142857143,20.2187236328125,0.0,0.2449837186301238
73551,4133.0,1076.0,13,64.46428571428571,8.7068115234375,0.0,3.2102826584534796
73552,4361.0,1185.0,13,64.39285714285714,11.7421455078125,0.0,3.3305337437989806
73553,4711.0,43.0,13,64.39285714285714,11.7421455078125,0.0,3.5240657405734623
73554,9527.0,423.0,13,64.39285714285714,20.2187236328125,0.0,5.8190136221847695
73555,2275.0,8311.0,13,64.39285714285714,20.2187236328125,0.0,1.792450639356872
73556,7999.0,1965.0,14,64.33928571428571,6.497296875,0.0,0.07439399754028386
73557,13898.0,461.0,14,64.30357142857143,6.8761259765625,0.0,0.15324881581139493
73558,29549.0,1264.0,4,64.30357142857143,7.091933593750001,0.0,17.98252854867738
73560,2020.0,3093.0,4,64.35714285714286,7.091933593750001,0.0,0.6058078599376131
