taskId,requiredCycles,serverId,edgeUtilization,wanBW,predictedDelay,actualDelay
147,36648.0,7,3.25,20.2187236328125,0.0,3.6648000000000014
148,6700.0,14,3.25,20.2187236328125,0.0,0.07984267370309617
149,20726.0,12,3.3214285714285716,20.2187236328125,0.0,2.0839480466853235
150,10791.0,7,3.3214285714285716,20.2187236328125,0.0,1.0790257757771258
151,1781.0,14,3.3214285714285716,20.2187236328125,0.0,0.01781000000000077
152,1816.0,14,3.392857142857143,20.2187236328125,0.0,0.018159999999999954
153,5888.0,7,3.375,20.2187236328125,0.0,0.5829135407518127
154,10161.0,14,3.375,20.2187236328125,0.0,0.10160226758480029
155,6965.0,12,3.2857142857142856,20.2187236328125,0.0,0.7277718842573648
156,3113.0,3,3.232142857142857,11.7421455078125,0.0,0.4200999999999997
157,6930.0,5,3.232142857142857,20.2187236328125,0.0,0.6929122360246769
158,10444.0,14,3.232142857142857,20.2187236328125,0.0,0.10444000000000031
159,12214.0,2,3.2142857142857144,11.7421455078125,0.0,1.2213999999999992
160,1185.0,12,3.2142857142857144,20.2187236328125,0.0,0.15786255422662343
161,21021.0,3,3.3035714285714284,11.7421455078125,0.0,2.4665770953154933
162,786.0,12,3.357142857142857,20.2187236328125,0.0,0.1111500000000003
163,7410.0,3,3.3035714285714284,11.7421455078125,0.0,0.8497598437668827
164,3568.0,12,3.3035714285714284,20.2187236328125,0.0,0.35670415827593516
165,2289.0,7,3.4107142857142856,20.2187236328125,0.0,0.22881469868401538
166,41581.0,14,3.4107142857142856,20.2187236328125,0.0,0.40986668939463655
167,1675.0,7,3.3392857142857144,20.2187236328125,0.0,0.16741432029643022
168,5138.0,3,3.4107142857142856,11.7421455078125,0.0,0.9664372829666057
169,1120.0,3,3.3392857142857144,11.7421455078125,0.0,0.2158153346341063
170,4277.0,3,3.3035714285714284,11.7421455078125,0.0,0.7830059534293419
171,7080.0,3,3.3035714285714284,11.7421455078125,0.0,1.160388112346567
172,3977.0,3,3.357142857142857,9.6560400390625,0.0,0.7916066108388016
173,106.0,7,3.357142857142857,20.2187236328125,0.0,0.010600000000000165
174,188.0,3,3.375,11.7421455078125,0.0,0.018800000000000594
175,2016.0,13,3.25,11.7421455078125,0.0,0.2015999999999991
176,17937.0,5,3.1785714285714284,20.2187236328125,0.0,1.8117877368972852
177,10350.0,12,3.125,20.2187236328125,0.0,1.0349781157426357
178,918.0,5,3.1785714285714284,11.7421455078125,0.0,0.09179999999999922
179,6947.0,3,3.1964285714285716,11.7421455078125,0.0,0.8362828190034453
180,4522.0,1,3.1964285714285716,11.7421455078125,0.0,0.45217968903186545
181,12005.0,3,3.392857142857143,11.7421455078125,0.0,1.4868914985576076
182,17092.0,1,3.375,11.7421455078125,0.0,1.7091229884601056
183,9657.0,14,3.375,20.2187236328125,0.0,0.09656999999999982
184,15351.0,13,3.375,11.7421455078125,0.0,1.5350638463975876
185,4391.0,3,3.4642857142857144,11.7421455078125,0.0,0.6828218391229282
186,2277.0,3,3.4642857142857144,11.7421455078125,0.0,0.31997676069723724
187,672.0,7,3.4285714285714284,20.2187236328125,0.0,0.0749435529204252
188,6251.0,1,3.375,11.7421455078125,0.0,0.6250871963391038
189,684.0,7,3.5,20.2187236328125,0.0,0.0805694414235294
190,1361.0,7,3.5,20.2187236328125,0.0,0.13601833380651485
191,33115.0,1,3.392857142857143,11.7421455078125,0.0,3.3046500103727876
192,10868.0,3,3.607142857142857,11.7421455078125,0.0,1.5062273662559367
193,8675.0,3,3.607142857142857,11.7421455078125,0.0,1.281677937784405
194,1678.0,7,3.607142857142857,20.2187236328125,0.0,0.16646707001919836
195,8160.0,3,3.607142857142857,11.7421455078125,0.0,1.222230055839539
196,9436.0,7,3.6964285714285716,20.2187236328125,0.0,0.9435286687170326
197,1608.0,6,3.6964285714285716,11.7421455078125,0.0,0.16080000000000005
198,5877.0,2,3.6964285714285716,20.2187236328125,0.0,0.5876999999999999
199,2175.0,5,3.8035714285714284,20.2187236328125,0.0,0.21740888357826904
200,8137.0,12,3.8035714285714284,20.2187236328125,0.0,1.1553500000000003
201,2111.0,7,3.8035714285714284,20.2187236328125,0.0,0.21101131024574116
202,902.0,12,3.8035714285714284,20.2187236328125,0.0,0.17709999999999937
203,5944.0,12,3.8035714285714284,20.2187236328125,0.0,0.9148905481038199
204,40771.0,14,3.8214285714285716,20.2187236328125,0.0,0.4077063992704506
205,7722.0,12,3.8214285714285716,20.2187236328125,0.0,1.0776220871897486
206,431.0,3,3.982142857142857,11.7421455078125,0.0,0.04304131045111603
207,18852.0,14,3.982142857142857,20.2187236328125,0.0,0.20468658605729395
208,5671.0,6,3.982142857142857,11.7421455078125,0.0,0.5670592373501826
209,2693.0,3,4.089285714285714,11.7421455078125,0.0,0.4169546590791189
210,2560.0,7,4.232142857142857,20.2187236328125,0.0,0.25594480092054894
211,25711.0,11,4.25,11.7421455078125,0.0,2.571006311033779
212,45.0,11,4.196428571428571,11.7421455078125,0.0,0.09493230023237054
213,1904.0,3,4.375,11.7421455078125,0.0,0.18767366280132514
214,31164.0,14,4.464285714285714,20.2187236328125,0.0,0.31163904030132095
215,19341.0,3,4.464285714285714,11.7421455078125,0.0,1.934099999999999
216,8833.0,0,4.446428571428571,11.7421455078125,0.0,0.8833000000000002
217,7497.0,13,4.446428571428571,11.7421455078125,0.0,0.7496511952026346
218,13599.0,7,4.625,20.2187236328125,0.0,1.359678966353922
219,7568.0,2,4.625,20.2187236328125,0.0,0.7567025159389313
220,10045.0,7,4.714285714285714,20.2187236328125,0.0,1.0001396991817497
221,46.0,7,4.696428571428571,20.2187236328125,0.0,0.03438563692551888
222,5118.0,13,4.660714285714286,11.7421455078125,0.0,0.5117512508514146
223,5058.0,14,4.660714285714286,20.2187236328125,0.0,0.05058000000000007
224,9863.0,12,4.696428571428571,11.7421455078125,0.0,0.986223369816269
225,1791.0,7,4.732142857142857,20.2187236328125,0.0,0.17910000000000004
226,13107.0,5,4.464285714285714,11.7421455078125,0.0,1.3106463753420332
227,43.0,11,4.464285714285714,11.7421455078125,0.0,0.017352451807015612
228,3700.0,5,4.464285714285714,11.7421455078125,0.0,0.3691648561933256
229,1435.0,11,4.642857142857143,11.7421455078125,0.0,0.14349999999999952
230,4811.0,11,4.5,11.7421455078125,0.0,0.48101580620520856
231,11277.0,3,4.5,11.7421455078125,0.0,1.1264962987189175
232,537.0,3,4.464285714285714,11.7421455078125,0.0,0.07115000000000116
233,1531.0,3,4.482142857142857,11.7421455078125,0.0,0.18933404050453184
234,71528.0,14,4.446428571428571,20.2187236328125,0.0,0.7180847960225769
235,2890.0,6,4.446428571428571,11.7421455078125,0.0,0.28897136055124406
236,358.0,3,4.375,11.7421455078125,0.0,0.03372058427277125
237,3625.0,3,4.375,11.7421455078125,0.0,0.6194015357321572
238,13023.0,3,4.392857142857143,11.7421455078125,0.0,1.5672233505960023
239,1547.0,3,4.392857142857143,11.7421455078125,0.0,0.3058294396170247
240,8253.0,7,4.303571428571429,20.2187236328125,0.0,0.8252300742336498
241,2465.0,7,4.285714285714286,20.2187236328125,0.0,0.2464096065213912
242,11277.0,1,4.196428571428571,11.7421455078125,0.0,1.1198000503000944
243,3571.0,3,4.267857142857143,11.7421455078125,0.0,0.5355469377357895
244,4928.0,5,4.267857142857143,20.2187236328125,0.0,0.6409805246401703
245,8137.0,3,4.267857142857143,11.7421455078125,0.0,1.0146616955239693
246,210.0,3,4.267857142857143,11.7421455078125,0.0,0.05149999999999899
247,4928.0,3,4.267857142857143,11.7421455078125,0.0,0.7076990713312288
248,1502.0,5,4.464285714285714,20.2187236328125,0.0,0.2851210438005527
249,49911.0,14,4.464285714285714,20.2187236328125,0.0,0.4991033455153264
250,5193.0,5,4.464285714285714,20.2187236328125,0.0,0.652011731363908
251,41885.0,2,4.446428571428571,20.2187236328125,0.0,4.188481986805792
252,1443.0,5,4.446428571428571,20.2187236328125,0.0,0.27564940640380975
253,3456.0,5,4.410714285714286,20.2187236328125,0.0,0.34553473653653555
254,3369.0,7,4.410714285714286,20.2187236328125,0.0,0.3369
255,64185.0,3,4.517857142857143,9.6560400390625,0.0,9.075900077705446
256,8594.0,14,4.517857142857143,20.2187236328125,0.0,0.08593693431033245
257,14236.0,3,4.517857142857143,11.7421455078125,0.0,1.4236000000000004
258,3588.0,11,4.589285714285714,11.7421455078125,0.0,0.3786222270177113
259,6704.0,7,4.946428571428571,20.2187236328125,0.0,0.6629234544106097
260,2748.0,11,4.946428571428571,11.7421455078125,0.0,0.27476663823543035
261,2814.0,11,4.875,11.7421455078125,0.0,0.28136021798464306
262,48817.0,3,4.553571428571429,11.7421455078125,0.0,8.214863408509276
263,1369.0,7,4.553571428571429,20.2187236328125,0.0,0.13633928741264967
264,10890.0,7,4.553571428571429,20.2187236328125,0.0,1.088981258461816
265,269.0,3,4.553571428571429,11.7421455078125,0.0,0.05615710899468773
